name,breed,image,weratedogs_rating,text,retweet_count,favorite_count,link_to_tweet,timestamp,tweet_id,rating
Archie,Chihuahua,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,12,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,4328,25461,https://twitter.com/dog_rates/status/891815181378084864/photo/1,2017-07-31 00:18:03,891815181378084864,12
Darla,Labrador Retriever,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,13,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,8964,42908,https://twitter.com/dog_rates/status/891689557279858688/photo/1,2017-07-30 15:58:51,891689557279858688,13
Franklin,Basset,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,12,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",9774,41048,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",2017-07-29 16:00:24,891327558926688256,12
Zoey,Irish Terrier,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,13,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,4429,28226,https://twitter.com/dog_rates/status/890609185150312448/photo/1,2017-07-27 16:25:51,890609185150312448,13
Cassie,Pembroke,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,14,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,7711,32467,https://twitter.com/dog_rates/status/890240255349198849/photo/1,2017-07-26 15:59:51,890240255349198849,14
Koda,Samoyed,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,13,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,7624,31166,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",2017-07-26 00:31:25,890006608113172480,13
Bruno,French Bulldog,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,13,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,5156,28268,https://twitter.com/dog_rates/status/889880896479866881/photo/1,2017-07-25 16:11:53,889880896479866881,13
Ted,French Bulldog,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,12,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,4735,27672,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",2017-07-25 00:10:02,889638837579907072,12
Stuart,Golden Retriever,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,13,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,2321,15359,https://twitter.com/dog_rates/status/889531135344209921/photo/1,2017-07-24 17:02:04,889531135344209921,13
Oliver,Whippet,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,13,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,5637,25652,https://twitter.com/dog_rates/status/889278841981685760/video/1,2017-07-24 00:19:32,889278841981685760,13
Jim,Golden Retriever,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,12,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,4709,29611,https://twitter.com/dog_rates/status/888917238123831296/photo/1,2017-07-23 00:22:39,888917238123831296,12
Zeke,Golden Retriever,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,13,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,4559,26080,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",2017-07-22 16:56:37,888804989199671297,13
Ralphus,Siberian Husky,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,13,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,3732,20290,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",2017-07-22 00:23:06,888554962724278272,13
Gerald,French Bulldog,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,12,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,3653,22201,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",2017-07-20 16:49:33,888078434458587136,12
Jeffrey,Basset,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,13,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,5609,30779,https://twitter.com/dog_rates/status/887705289381826560/photo/1,2017-07-19 16:06:48,887705289381826560,13
